index,ID,Name,Type,City,Zip,Grade,Rating1,Rating2,RatingAll,lat,lon,Enrollment
190,25000,Ki Charter Academy,charter,San Marcos,78666,1-12,1,4,3.1,29.899591,-97.927475,173
191,7810,San Marcos Center School,private,San Marcos,78666,5-12,1,4,3.1,29.8967,-97.9268,173
192,6129,Travis Elementary School,public,San Marcos,78666,K-5,2,4,4.2,29.896297,-97.92375,638
193,6126,Goodnight Middle School,public,San Marcos,78666,6-8,4,4,6.4,29.858873,-97.93738,1000
194,6130,Dezavala Elementary School,public,San Marcos,78666,K-5,3,3,4.800000000000001,29.856054,-97.9352,594
195,6124,Bowie Elementary School,public,San Marcos,78666,K-5,4,4,6.4,29.842026,-97.94888,577
196,7966,Hill Country Christian School Of San Marcos,private,San Marcos,78666,K-12,4,4,6.4,29.888653,-97.91073,206
197,22,Jacob's Well Elementary School,public,Wimberley,78676,2-5,6,4,8.600000000000001,30.017944,-98.14437,636
198,23,Wimberley High School,public,Wimberley,78676,9-12,7,4,9.700000000000001,30.005053,-98.11713,684
199,20624,Wimberley Montessori,private,Wimberley,78676,PK-7,7,4,9.700000000000001,30.008251,-98.11329,42
200,25,Danforth J High School,public,Wimberley,78676,6-8,8,5,11.3,30.003307,-98.11376,532
201,24,Scudder Primary School,public,Wimberley,78676,PK-1,8,4,10.8,30.002565,-98.11059,337
202,8563,Katherine Anne Porter School,charter,Wimberley,78676,9-12,5,5,8.0,29.997437,-98.09862,165
203,5895,Old Town Elementary School,public,Round Rock,78681,PK-5,7,4,9.700000000000001,30.531343,-97.704445,669
204,20426,Meridian World School Llc,charter,Round Rock,78664,K-12,8,4,10.8,30.537546,-97.69061,1650
205,19531,Pfc Robert P Hernandez Middle School,public,Round Rock,78664,6-8,3,4,5.300000000000001,30.529718,-97.66617,816
206,19529,Round Rock Opport Center Daep,public,Round Rock,78665,6-12,4,4,6.4,30.546898,-97.6758,60
207,7923,Applegate SDA School,private,Round Rock,78680,4-11,4,4,6.4,30.547932,-97.67384,60
208,8776,Stony Point High School,public,Round Rock,78664,9-12,6,4,8.600000000000001,30.529999,-97.66142,2600
209,9134,Chandler Oaks Elementary School,public,Round Rock,78681,PK-5,9,3,11.4,30.55644,-97.73276,520
210,5890,Double File Trail Elementary School,public,Round Rock,78665,PK-5,5,4,7.5,30.534344,-97.649216,613
211,9138,Union Hill Elementary School,public,Round Rock,78665,PK-5,5,4,7.5,30.554312,-97.66135,818
212,5897,Hopewell Middle School,public,Round Rock,78665,6-8,8,3,10.3,30.552605,-97.658806,993
213,8777,Caldwell Heights Elementary School,public,Round Rock,78665,PK-5,6,4,8.600000000000001,30.565243,-97.66863,696
214,25306,Rrisd Early College High S,public,Round Rock,78665,9-12,7,4,9.700000000000001,30.56158,-97.65704,735
215,9141,Teravista Elementary School,public,Round Rock,78665,PK-5,8,4,10.8,30.575752,-97.66241,876
216,24440,Sapientia Montessori School,private,Cedar Park,78613,PK-3,6,5,9.100000000000001,30.53201,-97.80654,619
